Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm)
178,7,-5.3,90.0,1.1,311.0,-6.6,0.0,0.0,2.2
423,8,-5.6,89.0,0.9,371.0,-7.1,0.0,0.0,2.2
265,9,-5.3,88.0,0.4,463.0,-6.9,0.21,0.0,2.2
169,10,-3.0,71.0,0.7,608.0,-7.5,0.67,0.0,2.1
243,11,-0.7,62.0,0.7,519.0,-7.0,0.77,0.0,2.0
290,12,1.9,40.0,2.0,1835.0,-10.3,1.04,0.0,1.9
285,13,3.2,42.0,1.8,1349.0,-8.5,1.08,0.0,1.8
255,14,4.3,47.0,2.3,953.0,-6.0,0.96,0.0,1.6
316,15,4.4,46.0,1.4,1113.0,-6.2,0.78,0.0,1.0
301,16,4.1,51.0,1.8,1112.0,-5.1,0.48,0.0,0.9
366,17,2.9,60.0,1.3,1193.0,-4.1,0.16,0.0,0.8
531,18,1.7,64.0,1.3,1140.0,-4.3,0.0,0.0,0.8
355,19,0.8,71.0,0.9,923.0,-3.8,0.0,0.0,0.8
288,20,0.2,72.0,0.7,990.0,-4.2,0.0,0.0,0.8
248,21,-0.4,74.0,0.6,1065.0,-4.4,0.0,0.0,0.8
252,22,-1.1,78.0,0.6,865.0,-4.4,0.0,0.0,0.8
212,23,-1.5,79.0,0.6,821.0,-4.6,0.0,0.0,0.8
164,0,-6.5,41.0,1.7,2000.0,-17.6,0.0,0.0,0.0
169,1,-6.6,39.0,1.4,2000.0,-18.2,0.0,0.0,0.0
163,2,-6.6,34.0,1.8,2000.0,-19.8,0.0,0.0,0.0
86,3,-6.0,32.0,2.5,2000.0,-20.0,0.0,0.0,0.0
50,4,-5.8,32.0,1.6,2000.0,-19.8,0.0,0.0,0.0
61,5,-5.7,28.0,1.2,2000.0,-21.3,0.0,0.0,0.0
103,6,-5.5,24.0,0.5,2000.0,-22.9,0.0,0.0,0.0
257,7,-5.0,31.0,0.5,2000.0,-19.5,0.0,0.0,0.0
554,8,-4.7,30.0,0.6,2000.0,-19.6,0.0,0.0,0.0
326,9,-4.3,38.0,0.7,1877.0,-16.5,0.04,0.0,0.0
225,10,-3.4,33.0,1.3,1863.0,-17.4,0.33,0.0,0.0
288,11,-2.1,34.0,1.0,1868.0,-15.8,0.65,0.0,0.0
286,12,-0.8,38.0,1.0,1686.0,-13.3,0.75,0.0,0.0
301,13,0.8,46.0,1.4,1598.0,-9.5,0.8,0.0,0.0
311,14,0.8,55.0,1.8,1132.0,-7.2,0.59,0.0,0.0
303,15,0.4,57.0,2.4,1179.0,-7.1,0.36,0.0,0.0
390,16,0.3,57.0,2.3,1204.0,-7.2,0.19,0.0,0.0
407,17,0.2,58.0,2.0,1159.0,-7.1,0.08,0.0,0.0
552,18,-0.6,62.0,1.6,1129.0,-6.9,0.0,0.0,0.0
402,19,-0.4,62.0,0.9,1103.0,-6.8,0.0,0.0,0.0
319,20,-0.3,62.0,1.3,1040.0,-6.7,0.0,0.0,0.0
332,21,-0.2,62.0,0.6,986.0,-6.6,0.0,0.0,0.0
285,22,0.0,63.0,1.3,968.0,-6.2,0.0,0.0,0.0
260,23,0.1,63.0,1.1,1003.0,-6.1,0.0,0.0,0.0
148,0,-1.8,54.0,1.1,1772.0,-9.8,0.0,0.0,0.0
108,1,-2.1,56.0,0.8,1732.0,-9.7,0.0,0.0,0.0
69,2,-2.3,62.0,0.9,1560.0,-8.6,0.0,0.0,0.0
41,3,-2.5,62.0,0.4,1626.0,-8.7,0.0,0.0,0.0
31,4,-2.7,67.0,0.5,1302.0,-7.9,0.0,0.0,0.0
58,5,-3.1,67.0,0.6,1384.0,-8.3,0.0,0.0,0.0
139,6,-3.2,67.0,0.4,1409.0,-8.4,0.0,0.0,0.0
344,7,-3.2,69.0,0.5,1249.0,-8.0,0.0,0.0,0.0
655,8,-3.4,71.0,0.8,1179.0,-7.9,0.0,0.0,0.0
315,9,-3.1,66.0,0.2,1168.0,-8.5,0.12,0.0,0.0
208,10,-1.4,50.0,1.9,1355.0,-10.5,0.38,0.0,0.0
269,11,-0.4,40.0,2.3,1633.0,-12.3,0.66,0.0,0.0
293,12,0.9,29.0,1.9,1761.0,-15.1,0.88,0.0,0.0
273,13,1.5,23.0,3.6,1970.0,-17.4,0.95,0.0,0.0
302,14,1.7,20.0,4.4,1995.0,-18.9,0.91,0.0,0.0
295,15,1.5,22.0,3.0,1998.0,-17.9,0.76,0.0,0.0
320,16,1.3,23.0,2.9,2000.0,-17.6,0.51,0.0,0.0
373,17,0.3,27.0,2.6,2000.0,-16.5,0.18,0.0,0.0
675,18,-0.8,24.0,2.3,2000.0,-18.9,0.01,0.0,0.0
403,19,-1.3,28.0,2.4,2000.0,-17.5,0.0,0.0,0.0
364,20,-1.9,26.0,2.2,2000.0,-18.9,0.0,0.0,0.0
304,21,-2.6,28.0,2.0,2000.0,-18.6,0.0,0.0,0.0
273,22,-3.4,33.0,2.4,2000.0,-17.4,0.0,0.0,0.0
186,23,-3.8,35.0,2.3,2000.0,-17.0,0.0,0.0,0.0
160,0,-4.3,38.0,1.4,2000.0,-16.5,0.0,0.0,0.0
130,1,-5.0,42.0,1.2,1993.0,-15.9,0.0,0.0,0.0
110,2,-5.5,43.0,2.0,2000.0,-16.1,0.0,0.0,0.0
67,3,-6.1,45.0,1.3,1999.0,-16.1,0.0,0.0,0.0
43,4,-6.1,45.0,2.3,2000.0,-16.1,0.0,0.0,0.0
67,5,-6.4,47.0,2.4,1981.0,-15.8,0.0,0.0,0.0
137,6,-6.7,48.0,2.4,1991.0,-15.9,0.0,0.0,0.0
308,7,-6.9,48.0,2.4,1974.0,-16.0,0.0,0.0,0.0
670,8,-7.0,49.0,1.5,1971.0,-15.9,0.0,0.0,0.0
342,9,-6.8,44.0,1.7,1858.0,-17.0,0.16,0.0,0.0
213,10,-5.6,38.0,2.9,1752.0,-17.6,0.55,0.0,0.0
267,11,-4.5,36.0,3.2,1736.0,-17.3,0.77,0.0,0.0
297,12,-3.4,32.0,3.1,1706.0,-17.7,1.02,0.0,0.0
279,13,-2.2,31.0,2.3,1910.0,-17.0,1.13,0.0,0.0
270,14,-1.5,30.0,2.8,1903.0,-16.8,1.1,0.0,0.0
286,15,-1.1,29.0,2.8,1976.0,-16.9,0.96,0.0,0.0
299,16,-0.4,30.0,2.0,2000.0,-15.9,0.62,0.0,0.0
382,17,-1.9,35.0,1.8,2000.0,-15.3,0.25,0.0,0.0
637,18,-3.1,39.0,2.1,2000.0,-15.1,0.0,0.0,0.0
431,19,-3.7,41.0,2.0,2000.0,-15.0,0.0,0.0,0.0
294,20,-3.9,44.0,2.5,2000.0,-14.3,0.0,0.0,0.0
335,21,-4.3,47.0,2.8,1997.0,-13.9,0.0,0.0,0.0
291,22,-5.2,53.0,1.3,1969.0,-13.3,0.0,0.0,0.0
197,23,-5.9,54.0,0.8,1968.0,-13.7,0.0,0.0,0.0
98,0,-10.3,54.0,2.4,1988.0,-17.8,0.0,0.0,0.0
100,1,-10.6,55.0,2.9,1987.0,-17.9,0.0,0.0,0.0
89,2,-10.9,57.0,2.7,1900.0,-17.7,0.0,0.0,0.0
38,3,-11.2,59.0,2.9,1872.0,-17.6,0.0,0.0,0.0
33,4,-11.5,57.0,2.3,1899.0,-18.3,0.0,0.0,0.0
42,5,-11.9,61.0,1.8,1759.0,-17.9,0.0,0.0,0.0
82,6,-12.0,61.0,2.3,1709.0,-18.0,0.0,0.0,0.0
203,7,-12.3,59.0,2.3,1738.0,-18.6,0.0,0.0,0.0
443,8,-12.6,61.0,1.6,1610.0,-18.5,0.0,0.0,0.0
227,9,-12.0,53.0,2.6,1781.0,-19.6,0.16,0.0,0.0
152,10,-11.1,46.0,3.7,1638.0,-20.4,0.48,0.0,0.0
146,11,-10.2,41.0,3.5,1629.0,-20.9,0.84,0.0,0.0
187,12,-8.6,40.0,2.6,1700.0,-19.8,1.11,0.0,0.0
178,13,-8.6,41.0,3.4,1593.0,-19.5,1.2,0.0,0.0
187,14,-7.4,38.0,3.3,1718.0,-19.3,1.15,0.0,0.0
181,15,-8.3,42.0,3.8,1745.0,-18.9,0.93,0.0,0.0
179,16,-8.2,39.0,2.8,1807.0,-19.7,0.63,0.0,0.0
219,17,-9.3,43.0,2.8,1900.0,-19.6,0.28,0.0,0.0
352,18,-10.4,43.0,2.3,1985.0,-20.6,0.02,0.0,0.0
251,19,-10.9,44.0,3.0,2000.0,-20.7,0.0,0.0,0.0
177,20,-11.6,49.0,1.8,1953.0,-20.1,0.0,0.0,0.0
162,21,-12.4,51.0,2.2,1992.0,-20.4,0.0,0.0,0.0
172,22,-12.9,52.0,2.8,2000.0,-20.7,0.0,0.0,0.0
119,23,-13.2,51.0,1.5,1972.0,-21.2,0.0,0.0,0.0
215,0,2.7,73.0,1.0,290.0,-1.6,0.0,0.0,0.0
190,1,3.2,72.0,1.9,306.0,-1.3,0.0,0.0,0.0
137,2,3.3,73.0,1.2,288.0,-1.0,0.0,0.0,0.0
95,3,3.6,74.0,1.7,273.0,-0.6,0.0,0.0,0.0
50,4,3.3,80.0,2.1,232.0,0.1,0.0,0.0,0.0
68,5,2.6,82.0,2.0,229.0,-0.1,0.0,0.0,0.0
107,6,2.2,82.0,2.0,211.0,-0.5,0.0,0.0,0.0
279,7,1.5,86.0,1.1,189.0,-0.5,0.0,0.0,0.0
537,8,1.1,86.0,1.2,197.0,-0.9,0.0,0.0,0.0
305,9,1.2,84.0,2.1,210.0,-1.2,0.07,0.0,0.0
188,10,1.4,81.0,2.1,255.0,-1.5,0.21,0.0,0.0
261,11,1.8,75.0,1.8,301.0,-2.1,0.35,0.0,0.0
267,12,2.5,72.0,2.4,256.0,-2.0,0.0,0.0,0.0
307,13,3.5,54.0,3.2,463.0,-4.9,0.68,0.0,0.0
301,14,4.4,42.0,2.3,719.0,-7.4,0.72,0.0,0.0
269,15,4.2,36.0,2.3,957.0,-9.5,0.57,0.0,0.0
328,16,3.6,42.0,2.4,883.0,-8.1,0.29,0.0,0.0
416,17,2.8,46.0,2.1,858.0,-7.6,0.14,0.0,0.0
506,18,2.0,39.0,2.1,1259.0,-10.5,0.01,0.0,0.0
365,19,1.5,41.0,1.0,1210.0,-10.3,0.0,0.0,0.0
303,20,1.1,44.0,1.2,1171.0,-9.8,0.0,0.0,0.0
339,21,0.8,45.0,1.5,1184.0,-9.8,0.0,0.0,0.0
318,22,0.7,45.0,2.0,1084.0,-9.9,0.0,0.0,0.0
232,23,0.6,47.0,2.3,1046.0,-9.4,0.0,0.0,0.0
78,0,-15.9,43.0,3.8,2000.0,-25.6,0.0,0.0,0.7
68,1,-16.1,42.0,2.2,2000.0,-26.0,0.0,0.0,0.7
60,2,-16.0,42.0,1.3,2000.0,-25.9,0.0,0.0,0.7
32,3,-16.0,40.0,1.9,2000.0,-26.5,0.0,0.0,0.7
22,4,-15.9,37.0,2.4,1985.0,-27.2,0.0,0.0,0.7
34,5,-15.8,37.0,2.7,2000.0,-27.1,0.0,0.0,0.7
71,6,-16.1,33.0,3.0,2000.0,-28.7,0.0,0.0,0.7
165,7,-16.2,33.0,2.2,2000.0,-28.7,0.0,0.0,0.7
349,8,-16.4,32.0,3.3,2000.0,-29.2,0.01,0.0,0.6
187,9,-16.2,33.0,2.9,2000.0,-28.7,0.19,0.0,0.6
105,10,-15.3,33.0,2.4,2000.0,-27.9,0.56,0.0,0.6
122,11,-13.8,25.0,3.5,1996.0,-29.6,0.91,0.0,0.6
142,12,-12.8,25.0,3.2,1981.0,-28.7,1.16,0.0,0.6
130,13,-11.4,27.0,3.9,2000.0,-26.7,1.26,0.0,0.6
160,14,-10.4,25.0,2.3,1981.0,-26.7,1.21,0.0,0.5
130,15,-9.7,28.0,3.7,2000.0,-24.8,1.0,0.0,0.5
152,16,-9.6,31.0,2.6,1973.0,-23.6,0.66,0.0,0.5
170,17,-10.9,32.0,4.0,2000.0,-24.4,0.28,0.0,0.5
288,18,-11.8,33.0,4.0,2000.0,-24.8,0.04,0.0,0.5
178,19,-12.7,33.0,3.7,2000.0,-25.6,0.0,0.0,0.5
141,20,-13.5,33.0,2.4,2000.0,-26.3,0.0,0.0,0.5
137,21,-14.1,35.0,2.2,2000.0,-26.2,0.0,0.0,0.5
113,22,-14.6,35.0,2.5,2000.0,-26.7,0.0,0.0,0.5
79,23,-14.9,35.0,2.8,2000.0,-26.9,0.0,0.0,0.5
136,0,-8.2,50.0,1.1,1850.0,-16.8,0.0,0.0,0.0
126,1,-8.5,60.0,1.2,1908.0,-14.8,0.0,0.0,0.0
103,2,-8.3,65.0,0.4,1750.0,-13.7,0.0,0.0,0.0
57,3,-8.6,64.0,0.9,1754.0,-14.1,0.0,0.0,0.0
46,4,-9.0,54.0,0.6,1833.0,-16.6,0.0,0.0,0.0
39,5,-9.0,56.0,0.4,1678.0,-16.1,0.0,0.0,0.0
99,6,-9.3,61.0,0.7,1684.0,-15.4,0.0,0.0,0.0
255,7,-9.6,67.0,1.0,1503.0,-14.5,0.0,0.0,0.0
507,8,-9.7,65.0,0.8,1508.0,-15.0,0.02,0.0,0.0
270,9,-8.5,55.0,1.0,1482.0,-15.9,0.4,0.0,0.0
160,10,-6.3,46.0,1.3,1346.0,-16.0,1.01,0.0,0.0
217,11,-3.1,39.0,1.2,1495.0,-15.1,1.54,0.0,0.0
253,12,-1.5,35.0,1.2,1551.0,-15.0,1.9,0.0,0.0
270,13,0.3,30.0,1.4,1697.0,-15.2,2.11,0.0,0.0
253,14,0.9,25.0,2.4,1730.0,-16.9,2.09,0.0,0.0
286,15,1.4,25.0,2.2,1686.0,-16.5,1.81,0.0,0.0
284,16,2.0,25.0,2.3,1755.0,-16.0,1.3,0.0,0.0
337,17,1.5,24.0,1.9,1788.0,-16.9,0.72,0.0,0.0
564,18,-0.5,26.0,1.7,1999.0,-17.7,0.15,0.0,0.0
378,19,-1.8,35.0,1.4,1558.0,-15.2,0.0,0.0,0.0
277,20,-2.8,40.0,1.5,1593.0,-14.5,0.0,0.0,0.0
268,21,-3.3,42.0,1.1,1596.0,-14.4,0.0,0.0,0.0
233,22,-3.9,41.0,0.4,1462.0,-15.2,0.0,0.0,0.0
195,23,-4.3,44.0,0.7,1247.0,-14.7,0.0,0.0,0.0
126,0,-0.7,37.0,3.5,1716.0,-13.6,0.0,0.0,0.0
123,1,-1.1,38.0,2.8,1999.0,-13.6,0.0,0.0,0.0
112,2,-1.2,35.0,2.2,2000.0,-14.7,0.0,0.0,0.0
74,3,-1.4,34.0,2.1,2000.0,-15.2,0.0,0.0,0.0
58,4,-1.9,34.0,3.0,2000.0,-15.7,0.0,0.0,0.0
32,5,-2.4,33.0,3.1,2000.0,-16.5,0.0,0.0,0.0
39,6,-2.6,38.0,1.0,2000.0,-15.0,0.0,0.0,0.0
55,7,-3.0,40.0,0.9,2000.0,-14.7,0.0,0.0,0.0
112,8,-3.0,38.0,1.0,2000.0,-15.4,0.0,0.0,0.0
112,9,-3.5,30.0,1.5,1980.0,-18.6,0.0,0.0,0.0
127,10,-1.6,26.0,1.9,1980.0,-18.6,1.29,0.0,0.0
170,11,0.1,22.0,2.0,2000.0,-19.1,1.84,0.0,0.0
174,12,1.7,20.0,3.0,1983.0,-18.9,2.28,0.0,0.0
240,13,2.2,18.0,3.4,1942.0,-19.7,2.3,0.0,0.0
270,14,2.9,14.0,4.3,2000.0,-22.0,2.29,0.0,0.0
276,15,3.8,17.0,3.2,2000.0,-19.0,1.97,0.0,0.0
273,16,3.2,16.0,3.0,2000.0,-20.2,1.45,0.0,0.0
236,17,2.4,17.0,3.1,1990.0,-20.2,0.78,0.0,0.0
190,18,1.1,18.0,2.5,2000.0,-20.6,0.2,0.0,0.0
166,19,0.1,21.0,2.9,2000.0,-19.7,0.0,0.0,0.0
148,20,-0.4,27.0,2.2,2000.0,-17.1,0.0,0.0,0.0
134,21,-1.1,32.0,2.4,2000.0,-15.7,0.0,0.0,0.0
145,22,-1.9,30.0,0.8,2000.0,-17.2,0.0,0.0,0.0
92,23,-2.5,31.0,1.4,1996.0,-17.3,0.0,0.0,0.0
195,0,-2.7,58.0,1.7,2000.0,-9.8,0.0,0.0,0.0
190,1,-2.2,58.0,1.0,2000.0,-9.3,0.0,0.0,0.0
116,2,-2.9,57.0,0.0,1985.0,-10.2,0.0,0.0,0.0
71,3,-2.8,57.0,0.5,1995.0,-10.1,0.0,0.0,0.0
66,4,-2.4,58.0,0.3,2000.0,-9.5,0.0,0.0,0.0
75,5,-2.4,59.0,1.1,1984.0,-9.3,0.0,0.0,0.0
151,6,-3.0,62.0,0.8,1996.0,-9.2,0.0,0.0,0.0
373,7,-3.7,64.0,0.7,1891.0,-9.5,0.0,0.0,0.0
783,8,-3.6,63.0,0.9,1473.0,-9.6,0.07,0.0,0.0
383,9,-1.9,51.0,0.9,1654.0,-10.7,0.58,0.0,0.0
259,10,0.9,44.0,1.1,1826.0,-10.0,1.16,0.0,0.0
308,11,2.7,44.0,0.9,1761.0,-8.3,1.45,0.0,0.0
352,12,4.8,47.0,2.6,1373.0,-5.5,1.72,0.0,0.0
316,13,4.5,51.0,3.8,1108.0,-4.7,1.08,0.0,0.0
331,14,4.8,50.0,4.3,1168.0,-4.7,1.01,0.0,0.0
356,15,5.0,49.0,4.4,1138.0,-4.8,0.96,0.0,0.0
404,16,5.0,50.0,4.3,1121.0,-4.5,0.74,0.0,0.0
465,17,4.6,52.0,3.9,1059.0,-4.4,0.5,0.0,0.0
730,18,3.9,56.0,4.0,1004.0,-4.0,0.18,0.0,0.0
499,19,3.5,60.0,2.7,936.0,-3.5,0.0,0.0,0.0
348,20,3.0,62.0,2.4,975.0,-3.5,0.0,0.0,0.0
393,21,2.9,64.0,2.5,1154.0,-3.2,0.0,0.0,0.0
346,22,2.9,65.0,2.3,1150.0,-3.0,0.0,0.0,0.0
202,23,2.9,63.0,2.6,1253.0,-3.4,0.0,0.0,0.0
22,0,7.6,88.0,2.5,1974.0,5.7,0.0,9.0,0.0
23,1,7.0,88.0,2.5,2000.0,5.1,0.0,0.0,0.0
9,2,6.3,89.0,2.2,1456.0,4.6,0.0,0.0,0.0
2,3,5.7,92.0,2.0,458.0,4.4,0.0,1.5,0.0
4,4,5.1,90.0,2.6,1005.0,3.5,0.0,0.0,0.0
22,5,4.7,89.0,2.3,1242.0,3.0,0.0,0.0,0.0
20,6,4.2,87.0,2.0,1979.0,2.2,0.0,2.0,0.0
85,7,3.8,87.0,2.2,2000.0,1.8,0.0,0.0,0.0
184,8,3.6,88.0,2.3,2000.0,1.7,0.03,0.0,0.0
211,9,3.7,85.0,1.8,2000.0,1.4,0.17,0.0,0.0
232,10,4.4,80.0,1.8,2000.0,1.2,0.56,0.0,0.0
322,11,6.1,66.0,1.9,2000.0,0.2,1.42,0.0,0.0
438,12,7.6,58.0,2.4,2000.0,-0.1,1.85,0.0,0.0
465,13,8.3,51.0,2.0,2000.0,-1.2,1.42,0.0,0.0
550,14,10.0,44.0,1.9,2000.0,-1.7,2.46,0.0,0.0
637,15,10.3,43.0,2.5,2000.0,-1.7,2.45,0.0,0.0
718,16,11.0,39.0,1.2,2000.0,-2.4,1.96,0.0,0.0
865,17,10.0,43.0,1.4,2000.0,-2.0,1.12,0.0,0.0
1155,18,8.1,47.0,1.7,2000.0,-2.5,0.34,0.0,0.0
782,19,5.8,53.0,1.7,2000.0,-3.0,0.02,0.0,0.0
578,20,4.3,57.0,1.3,2000.0,-3.4,0.0,0.0,0.0
533,21,3.1,59.0,1.5,2000.0,-4.1,0.0,0.0,0.0
466,22,2.3,63.0,1.0,2000.0,-4.0,0.0,0.0,0.0
274,23,1.9,60.0,1.3,2000.0,-5.0,0.0,0.0,0.0
466,0,16.0,69.0,2.4,1863.0,10.3,0.0,0.0,0.0
355,1,16.3,68.0,2.1,1859.0,10.3,0.0,0.0,0.0
203,2,16.5,68.0,1.3,1724.0,10.5,0.0,0.0,0.0
51,3,16.5,69.0,2.4,1659.0,10.7,0.0,0.0,0.0
9,4,15.1,86.0,2.1,877.0,12.7,0.0,0.0,0.0
8,5,14.5,94.0,2.0,487.0,13.5,0.0,0.0,0.0
10,6,14.4,96.0,0.7,453.0,13.7,0.0,8.0,0.0
15,7,14.3,97.0,0.3,189.0,13.8,0.0,0.0,0.0
39,8,14.1,97.0,1.1,342.0,13.6,0.0,0.0,0.0
32,9,14.1,98.0,1.1,253.0,13.7,0.06,17.0,0.0
27,10,14.2,98.0,1.2,299.0,13.8,0.14,0.0,0.0
65,11,13.9,98.0,1.4,296.0,13.5,0.13,0.0,0.0
204,12,13.3,97.0,2.9,771.0,12.8,0.19,2.0,0.0
269,13,12.7,97.0,2.6,467.0,12.2,0.23,0.0,0.0
289,14,12.1,97.0,2.0,177.0,11.6,0.2,0.0,0.0
329,15,11.6,97.0,3.4,117.0,11.1,0.26,0.0,0.0
214,16,10.7,98.0,1.2,196.0,10.3,0.14,0.0,0.0
411,17,10.9,98.0,1.3,222.0,10.5,0.09,0.0,0.0
676,18,10.4,98.0,2.5,116.0,10.0,0.03,0.0,0.0
606,19,10.4,98.0,2.0,391.0,10.0,0.0,0.0,0.0
533,20,10.5,97.0,1.8,372.0,10.0,0.0,0.0,0.0
567,21,10.4,96.0,2.7,499.0,9.7,0.0,0.0,0.0
506,22,9.8,90.0,3.7,493.0,8.2,0.0,0.0,0.0
343,23,9.3,90.0,4.1,609.0,7.7,0.0,0.0,0.0
243,0,1.6,86.0,1.7,1141.0,-0.4,0.0,0.0,0.0
